City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
341,Uvinza,-5.1036,30.3911,65.75,52,18,5.55,few clouds
342,Muros,42.7762,-9.0603,65.08,89,22,4.88,few clouds
343,Kasongo-Lunda,-6.4667,16.8167,64.04,38,15,1.39,few clouds
344,Pesaro,43.9036,12.8903,76.21,75,72,3.33,broken clouds
345,Kruisfontein,-34.0033,24.7314,39.88,81,3,5.77,clear sky
346,Bratsk,56.1325,101.6142,70.29,64,44,6.98,scattered clouds
347,San Policarpo,12.1791,125.5072,84.0,68,98,11.27,overcast clouds
348,Ossora,59.2353,163.0719,58.86,80,87,7.92,overcast clouds
349,Nieuw Nickerie,5.95,-56.9833,79.56,83,98,9.93,overcast clouds
350,Port Lincoln,-34.7333,135.8667,54.18,72,100,30.98,moderate rain
351,Portland,45.5234,-122.6762,86.58,38,20,4.0,few clouds
352,Banda Aceh,5.5577,95.3222,84.02,72,100,13.33,overcast clouds
353,Kamenka,51.3223,42.7678,58.14,70,1,6.62,clear sky
354,Asau,46.4333,26.4,62.76,91,97,2.26,overcast clouds
355,Kiunga,-6.1219,141.2906,77.07,91,100,2.64,moderate rain
356,Sola,-13.8833,167.55,80.94,75,69,17.54,broken clouds
357,Nhulunbuy,-12.2333,136.7667,84.81,54,90,9.22,overcast clouds
358,Gigmoto,13.7796,124.39,86.25,74,90,18.16,light rain
359,Faya,18.3851,42.4509,62.71,67,100,3.49,overcast clouds
360,Hargeysa,9.56,44.065,68.25,64,99,28.45,overcast clouds
361,Mundo Nuevo,18.7,-95.5,80.31,79,35,8.81,scattered clouds
362,San Pedro,14.35,121.0167,79.16,94,90,18.41,thunderstorm with rain
363,Sines,37.9562,-8.8698,62.24,93,0,3.0,clear sky
364,Luwuk,-0.9516,122.7875,79.05,76,92,7.47,overcast clouds
365,Kaitong,44.8135,123.15,89.42,45,28,14.41,scattered clouds
366,Sioux Lookout,50.1001,-91.917,79.18,94,40,6.91,scattered clouds
367,Mehamn,71.0357,27.8492,44.58,90,100,32.84,overcast clouds
368,Igrim,63.1906,64.4162,55.89,66,6,6.02,clear sky
369,Alofi,-19.0595,-169.9187,80.49,78,14,11.5,few clouds
370,Yershichi,53.6725,32.7542,54.86,94,19,2.68,few clouds
371,East Stroudsburg,40.9995,-75.1813,70.18,83,0,3.69,clear sky
372,Port-Cartier,50.0334,-66.8654,62.74,84,67,3.13,broken clouds
373,Road Town,18.4167,-64.6167,82.49,81,19,22.26,few clouds
