City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
309,Itarema,BR,78.87,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
311,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
312,Progreso,MX,82.51,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
314,Bloomfield,US,75.06,clear sky,40.8068,-74.1854,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
315,Altamira,BR,73.56,overcast clouds,-3.2033,-52.2064,Requinte Hotel
316,Merauke,ID,81.81,overcast clouds,-8.4667,140.3333,
317,Linqing,CN,80.02,overcast clouds,36.8456,115.7117,Dongfang Hotel
318,Araceli,PH,83.88,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
319,Mindelo,CV,74.75,scattered clouds,16.8901,-24.9804,Hotel Gaudi
324,Kisangani,CD,70.75,broken clouds,0.5167,25.2,Grand Ramela Hotel
325,Inirida,CO,72.88,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
327,Teya,RU,76.51,clear sky,60.3778,92.6267,
329,Chunhuhub,MX,77.68,broken clouds,19.55,-88.6833,
332,Mastic Beach,US,73.98,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
333,Birnin Kebbi,NG,75.34,overcast clouds,12.4539,4.1975,Saffar Guest Inn Ltd
334,Nhulunbuy,AU,84.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
337,Airai,TL,75.61,broken clouds,-8.9266,125.4092,Juvinal Martin
338,Sioux Lookout,CA,77.38,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
339,Casper,US,81.19,clear sky,42.8666,-106.3131,Ramkota Hotel
340,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
341,Nishihara,JP,82.06,mist,26.1842,127.7558,Minshuku Agaihama
342,Buluang,PH,84.11,light rain,13.3068,123.3425,Enon Beach Resort
344,Lucea,JM,84.06,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
348,Zhigansk,RU,73.13,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
349,Baykit,RU,78.17,scattered clouds,61.67,96.37,
350,Hambantota,LK,81.19,broken clouds,6.1241,81.1185,Bungalow 63
352,Ugoofaaru,MV,82.56,overcast clouds,5.6667,73.0,Ungoofaaru Inn
354,Umm Lajj,SA,83.98,clear sky,25.0213,37.2685,Moon light Furnished Units
355,Palauig,PH,82.09,overcast clouds,15.435,119.9045,Myhousebythesea
358,Mapastepec,MX,78.96,overcast clouds,15.4333,-92.9,Hotel San Carlos
359,Filadelfia,US,74.1,clear sky,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
360,College,US,74.86,moderate rain,64.8569,-147.8028,Pike's Waterfront Lodge
361,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
363,Pangai,TO,80.71,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
365,Sabha,LY,76.32,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
367,Olinda,BR,71.33,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
370,Zanesville,US,72.18,clear sky,39.9404,-82.0132,"Holiday Inn Express & Suites Zanesville North, an IHG Hotel"
371,Pacific Grove,US,78.26,broken clouds,36.6177,-121.9166,Lovers Point Inn
372,Cozumel,MX,82.47,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
373,Altayskoye,RU,72.5,overcast clouds,51.9533,85.3325,ЭКО-ТРЕВЕЛ АЛТАЙ
375,Allen,US,76.01,mist,41.0706,-85.0144,"Holiday Inn Express Fort Wayne-East (New Haven), an IHG Hotel"
377,Lagos,NG,77.32,overcast clouds,6.5833,3.75,
378,Prabumulih,ID,81.68,broken clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
379,Curuca,BR,72.81,few clouds,-0.7289,-47.8481,Hotel Curuça
380,Shelby,US,80.15,clear sky,35.2001,-89.8668,Days Inn by Wyndham Memphis - I40 and Sycamore View
382,Salamiyah,SY,71.56,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
384,Xiashi,CN,78.98,heavy intensity rain,30.5363,120.6864,皮都锦江大酒店
393,Sola,VU,80.94,broken clouds,-13.8833,167.55,Leumerus Bungalows
396,Sao Domingos Do Maranhao,BR,71.29,few clouds,-5.5758,-44.3853,Pousada Babaçu
399,Hanyang,CN,81.14,light rain,32.1371,105.5126,Forestry Hostel
400,Kurchum,KZ,76.82,scattered clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
404,Goshen,US,77.43,broken clouds,41.5823,-85.8344,"Holiday Inn Express & Suites Goshen, an IHG Hotel"
405,Tlapehuala,MX,76.51,few clouds,18.2167,-100.5167,Iglesia del Dios vivocolumna y apollo de la verdad
406,Rudnogorsk,RU,75.9,clear sky,57.2639,103.7519,
408,Bluefield,US,71.38,clear sky,37.2698,-81.2223,Economy Inn
414,Remanso,BR,70.48,clear sky,-9.6179,-42.0831,Hotel Mangueira
415,Fairbanks,US,73.74,thunderstorm,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
417,Kabalo,CD,72.16,clear sky,-6.05,26.9167,
420,Panzhihua,CN,80.89,overcast clouds,26.5851,101.7128,Electric Power Hotel
421,Samana,DO,78.93,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
422,Muroto,JP,84.24,overcast clouds,33.2833,134.15,Oota Ryokan
423,Adamas,GR,74.62,clear sky,36.7333,24.4333,Aphrodite of Milos
424,Kyabe,TD,71.19,few clouds,9.4515,18.9449,
429,Saint-Denis,FR,72.37,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
431,Mataram,ID,83.21,few clouds,-8.5833,116.1167,Hotel Santika Mataram
435,Zhuji,CN,78.89,light rain,29.7188,120.2423,YaoJiang New Century Grand Hotel Zhuji
436,Mallaig,CA,70.21,broken clouds,54.2169,-111.3685,
438,Praia Da Vitoria,PT,71.85,broken clouds,38.7333,-27.0667,Hotel Branco I
439,Canutama,BR,76.19,scattered clouds,-6.5339,-64.3831,Hotel Jhennifer
440,Tura,IN,76.84,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
442,Poum,NC,74.16,clear sky,-20.2333,164.0167,Gîte kajeon
445,Benicarlo,ES,80.91,clear sky,40.4165,0.4271,El Pinche De Oro
451,Bafata,GW,73.71,overcast clouds,12.1667,-14.75,
452,Soe,ID,83.37,overcast clouds,-9.8607,124.284,Dena Hotel
455,Filingue,NE,82.96,overcast clouds,14.3521,3.3168,
459,Bougouni,ML,70.38,overcast clouds,11.417,-7.479,Non Stop
460,Vanavara,RU,74.88,overcast clouds,60.34,102.2797,
461,Takoradi,GH,74.1,overcast clouds,4.8845,-1.7554,Raybow International Hotel
467,Nortelandia,BR,71.87,clear sky,-14.4547,-56.8028,Hotel Karysmã
469,Nyurba,RU,77.72,clear sky,63.2842,118.3319,Gostinitsa Alrosa
472,Tevriz,RU,71.62,broken clouds,57.509,72.4042,Postoyalyy Dvor
473,Eyl,SO,77.07,broken clouds,7.9803,49.8164,Amiin Hotel
475,Kavaratti,IN,82.02,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
477,Kalmunai,LK,84.27,overcast clouds,7.4167,81.8167,VS Villa
478,Harlingen,US,84.25,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
480,Sinnamary,GF,78.55,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
481,Tomatlan,MX,79.66,overcast clouds,19.9333,-105.25,El Salvial
484,Severo-Yeniseyskiy,RU,73.51,clear sky,60.3725,93.0408,Aktolik
485,Freeport,US,76.17,scattered clouds,40.6576,-73.5832,The Freeport Inn and Marina
489,Manzhouli,CN,73.78,broken clouds,49.6,117.4333,Angala International Youth Hostel
493,Sabla,NG,75.34,light rain,12.7525,4.7077,
494,Petropavlovka,RU,70.81,overcast clouds,50.6114,105.3196,Tuyaa
499,Singaparna,ID,78.58,broken clouds,-7.3515,108.111,Wisma Dewi Hotel
500,Anori,BR,73.27,scattered clouds,-3.7728,-61.6442,Novo Hotel 05 Irmaos
501,Saint-Louis,SN,75.94,scattered clouds,16.3333,-15.0,
504,Male,MV,80.55,broken clouds,4.1748,73.5089,Hotel Octave Maldives
510,Kirakira,SB,84.74,scattered clouds,-10.4544,161.9205,SanBiz Lodge
515,Luba,GQ,76.89,light rain,3.4568,8.5547,
517,Cranbrook,CA,77.86,smoke,49.4999,-115.7688,Almo Court Motel
519,Tamandare,BR,73.85,few clouds,-8.7597,-35.1047,Pousada 100 Passos
522,Strezhevoy,RU,73.38,scattered clouds,60.7333,77.5889,Sibiryachka
524,Kuching,MY,84.42,few clouds,1.55,110.3333,The Ranee Boutique Suites
525,Hibbing,US,71.11,few clouds,47.4272,-92.9377,Americas Best Value Inn Hibbing
526,Dwarka,IN,83.73,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
528,Cheney,US,84.25,smoke,47.4874,-117.5758,"Holiday Inn Express & Suites Cheney, an IHG Hotel"
529,Amahai,ID,77.54,light rain,-3.3333,128.9167,HOTEL ISABELA
532,Kailua,US,84.18,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
