City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
272,Dongtai,CN,32.8523,120.3095,80.64,82,100,12.64,light rain
273,Lasa,IT,46.6166,10.7002,65.28,72,100,2.62,overcast clouds
274,Eureka,US,40.8021,-124.1637,64.13,73,1,4.0,clear sky
275,Dzhebariki-Khaya,RU,62.2167,135.8,71.42,65,100,7.27,overcast clouds
276,Touros,BR,-5.1989,-35.4608,74.3,84,18,15.43,few clouds
277,Namatanai,PG,-3.6667,152.4333,84.61,70,60,8.21,broken clouds
278,Ambagarh Chauki,IN,20.7833,80.7167,74.1,95,100,11.5,overcast clouds
279,Mbandaka,CD,0.0487,18.2603,69.21,86,22,3.09,few clouds
280,Srednekolymsk,RU,67.45,153.6833,66.0,40,82,5.68,broken clouds
281,Hay River,CA,60.8156,-115.7999,60.78,88,90,5.75,thunderstorm with light rain
282,Kiunga,PG,-6.1219,141.2906,77.7,91,100,1.21,overcast clouds
283,Kharp,RU,66.8014,65.8081,57.52,63,99,3.78,overcast clouds
284,Katsuura,JP,35.1333,140.3,87.91,69,10,8.95,clear sky
285,Lompoc,US,34.6391,-120.4579,76.21,80,90,10.36,overcast clouds
286,Nikolskoye,RU,59.7035,30.7861,54.01,74,91,4.09,overcast clouds
287,Luancheng,CN,37.8792,114.6517,86.16,69,10,6.49,clear sky
288,Atar,MR,20.5169,-13.0499,85.55,25,6,5.39,clear sky
289,Talcahuano,CL,-36.7167,-73.1167,44.28,100,54,3.44,mist
290,Sur,OM,22.5667,59.5289,88.36,63,79,11.61,broken clouds
291,Ahipara,NZ,-35.1667,173.1667,59.4,59,0,4.27,clear sky
292,San Patricio,US,28.017,-97.5169,84.29,72,0,13.56,clear sky
293,Kavieng,PG,-2.5744,150.7967,85.3,70,100,14.43,overcast clouds
294,Carutapera,BR,-1.195,-46.02,74.71,91,7,5.86,clear sky
295,Koga,JP,33.7333,130.4667,94.98,37,75,8.05,broken clouds
296,Akyab,MM,20.15,92.9,83.53,83,100,14.09,overcast clouds
297,Skaelskor,DK,55.2506,11.2935,61.99,58,0,7.4,clear sky
298,Maragogi,BR,-9.0122,-35.2225,73.78,79,38,11.59,scattered clouds
299,Ola,RU,59.5833,151.2833,56.37,83,99,2.89,overcast clouds
300,Coruripe,BR,-10.1256,-36.1756,71.67,86,78,8.66,broken clouds
301,Dongying,CN,37.4564,118.4856,90.93,44,97,6.85,light rain
302,Miri,MY,4.4148,114.0089,84.72,74,98,4.07,overcast clouds
303,Mareeba,AU,-17.0,145.4333,88.32,44,12,5.48,few clouds
304,Singaraja,ID,-8.112,115.0882,84.42,55,6,2.19,clear sky
305,Saint-Georges,GD,12.0564,-61.7485,80.19,85,100,12.17,overcast clouds
306,Byron Bay,AU,-28.65,153.6167,73.06,48,0,11.41,clear sky
307,Burgeo,CA,47.6167,-57.6152,54.61,90,79,12.35,broken clouds
308,Taoudenni,ML,22.6783,-3.9836,96.3,24,23,5.44,few clouds
309,Itarema,BR,-2.9248,-39.9167,78.87,77,37,15.1,scattered clouds
310,Wakefield,GB,53.6809,-1.499,61.63,85,100,7.34,overcast clouds
311,Marsa Matruh,EG,31.3525,27.2453,77.2,65,0,11.5,clear sky
312,Progreso,MX,21.2833,-89.6667,82.51,84,93,12.82,overcast clouds
313,Rawson,AR,-43.3002,-65.1023,45.66,43,30,9.37,scattered clouds
314,Bloomfield,US,40.8068,-74.1854,75.06,69,1,0.0,clear sky
315,Altamira,BR,-3.2033,-52.2064,73.56,62,99,2.15,overcast clouds
316,Merauke,ID,-8.4667,140.3333,81.81,65,94,9.62,overcast clouds
317,Linqing,CN,36.8456,115.7117,80.02,82,92,4.76,overcast clouds
318,Araceli,PH,10.5529,119.9913,83.88,77,94,19.17,overcast clouds
319,Mindelo,CV,16.8901,-24.9804,74.75,64,40,13.8,scattered clouds
320,Fontem,CM,5.4685,9.8818,64.26,98,100,1.05,overcast clouds
321,Norman Wells,CA,65.282,-126.8329,60.84,72,90,6.91,overcast clouds
322,Neuquen,AR,-38.9516,-68.0591,46.29,49,0,2.3,light rain
323,Chongwe,ZM,-15.3292,28.682,56.35,79,49,13.11,scattered clouds
324,Kisangani,CD,0.5167,25.2,70.75,91,60,2.46,broken clouds
325,Inirida,CO,3.8653,-67.9239,72.88,98,100,2.28,overcast clouds
326,Codrington,AU,-38.2667,141.9667,51.4,78,46,16.28,scattered clouds
327,Teya,RU,60.3778,92.6267,76.51,45,1,2.8,clear sky
328,Margate,GB,51.3813,1.3862,64.31,89,100,4.0,overcast clouds
329,Chunhuhub,MX,19.55,-88.6833,77.68,80,51,3.22,broken clouds
330,Lincoln,US,40.8,-96.667,86.29,65,1,3.0,clear sky
331,Gore,NZ,-46.1028,168.9436,56.23,72,14,3.58,few clouds
332,Mastic Beach,US,40.7668,-72.8521,73.98,74,1,1.01,clear sky
333,Birnin Kebbi,NG,12.4539,4.1975,75.34,84,99,8.99,overcast clouds
334,Nhulunbuy,AU,-12.2333,136.7667,84.81,58,90,8.05,overcast clouds
335,Port Hawkesbury,CA,45.6169,-61.3485,60.58,93,75,1.01,broken clouds
336,Zaragoza,ES,41.6561,-0.8773,69.94,60,0,14.0,clear sky
337,Airai,TL,-8.9266,125.4092,75.61,21,54,4.38,broken clouds
338,Sioux Lookout,CA,50.1001,-91.917,77.38,94,40,8.05,scattered clouds
339,Casper,US,42.8666,-106.3131,81.19,23,1,5.01,clear sky
340,Sakakah,SA,29.9697,40.2064,83.77,33,0,8.46,clear sky
341,Nishihara,JP,26.1842,127.7558,82.06,94,90,35.68,mist
342,Buluang,PH,13.3068,123.3425,84.11,82,100,17.31,light rain
343,Hornepayne,CA,49.2138,-84.7705,69.17,69,78,10.11,broken clouds
344,Lucea,JM,18.451,-78.1736,84.06,78,35,6.2,scattered clouds
345,Beitbridge,ZW,-22.2167,30.0,48.18,71,0,14.16,clear sky
